player_name(team_name),m1(run),m1(bowl),m1(sr),m1(op),m1(vnu),m2(run),m2(bowl),m2(sr),m2(4),m2(6),m2(op),m2(vnu),m3(run),m3(bowl),m3(sr),m3(4),m3(6),m3(op),m3(vnu),m4(run),m4(bowl),m4(sr),m4(4),m4(6),m4(op),m4(vnu),m5(run),m5(bowl),m5(sr),m5(4),m5(6),m5(op),m5(vnu),m6(run),m6(bowl),m6(sr),m6(4),m6(6),m6(op),m6(vnu),m7(run),m7(bowl),m7(sr),m7(4),m7(6),m7(op),m7(vnu),m8(run),m8(bowl),m8(sr),m8(4),m8(6),m8(op),m8(vnu),m9(run),m9(bowl),m9(sr),m9(4),m9(6),m9(op),m9(vnu),m10(run),m10(bowl),m10(sr),m10(4),m10(6),m10(op),m10(vnu),t(50),t(100),t(4),t(6),truns,tbf,avg.run,avg.sr,rf(50),rf(100),drb,truns(%),tbf(%),country,player_role,match_format,venue_type,opposition,pitch_type,weather,opposition_strength,recent_form_score,consistency_score,performance_label,source_file,wickets,m1(rab),m1(4),m1(6),m1(over),m1(wic),m1(mdn),m1(ecn),m1(w/l),m2(rab),m2(over),m2(wic),m2(mdn),m2(ecn),m2(w/l),m3(rab),m3(over),m3(wic),m3(mdn),m3(ecn),m3(w/l),m4(rab),m4(over),m4(wic),m4(mdn),m4(ecn),m4(w/l),m5(rab),m5(over),m5(wic),m5(mdn),m5(ecn),m5(w/l),m6(rab),m6(over),m6(wic),m6(mdn),m6(ecn),m6(w/l),m7(rab),m7(over),m7(wic),m7(mdn),m7(ecn),m7(w/l),m8(rab),m8(over),m8(wic),m8(mdn),m8(ecn),m8(w/l),m9(rab),m9(over),m9(wic),m9(mdn),m9(ecn),m9(w/l),m10(rab),m10(over),m10(wic),m10(mdn),m10(ecn),m10(w/l),t.wic,t.mdn,avg.rab,avg.bf,batting.sr,avg.over,avg.run.given,ecn,trab,t.over,ballsbowled,trungiven,bsr,unnamed:_0
Faheem Ashraf,73.31,118.91,0,Australia,Dubai,90.46,47.57,0,0,0,Australia,Dubai,14.77,50.5,0,0,0,Australia,Dubai,66.36,44.48,0,0,0,Australia,Dubai,52.04,34.47,0,0,0,Australia,Dubai,35.53,34.29,0,0,0,Australia,Dubai,54.34,12.33,0,0,0,Australia,Dubai,44.18,91.23,0,0,0,Australia,Dubai,547.59,52.97,0,0,0,Australia,Dubai,37.3,34.48,0,0,0,Australia,Dubai,0.0,0.96,0.0,0.0,323.12,418.97,30.48,72.15,0.0,0.1,0.0,3.27,4.19,Australia,Bowler,Test,Away,Afghanistan,Balanced,Overcast,53.29,20.09,55.68,67.46,test__static__Bowlers Dataset (Australia).csv,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaheen Afridi,22.28,81.28,0,Australia,Dubai,53.35,52.11,0,0,0,Australia,Dubai,60.85,15.72,0,0,0,Australia,Dubai,65.36,24.75,0,0,0,Australia,Dubai,45.73,41.56,0,0,0,Australia,Dubai,43.32,44.17,0,0,0,Australia,Dubai,51.89,32.35,0,0,0,Australia,Dubai,216.78,15.52,0,0,0,Australia,Dubai,147.38,51.88,0,0,0,Australia,Dubai,20.03,61.69,0,0,0,Australia,Dubai,1.97,0.97,0.0,0.0,441.13,556.44,45.99,81.03,0.2,0.1,0.0,4.7,6.01,Australia,Bowler,Test,Away,South Africa,Batting,Overcast,76.03,24.21,47.0,102.29,test__static__Bowlers Dataset (Australia).csv,26.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruman Raees,85.64,75.59,0,Australia,Dubai,20.01,51.45,0,0,0,Australia,Dubai,24.74,12.23,0,0,0,Australia,Dubai,72.99,59.84,0,0,0,Australia,Dubai,21.34,23.61,0,0,0,Australia,Dubai,67.26,14.82,0,0,0,Australia,Dubai,102.71,61.81,0,0,0,Australia,Dubai,552.29,12.42,0,0,0,Australia,Dubai,112.95,21.27,0,0,0,Australia,Dubai,20.54,24.74,0,0,0,Australia,Dubai,4.04,1.02,0.0,0.0,479.01,505.26,46.65,88.96,0.41,0.1,0.0,4.67,5.24,Australia,Bowler,Test,Home,England,Batting,Clear,87.75,20.0,70.74,91.56,test__static__Bowlers Dataset (Australia).csv,21.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Usman Shinwari,76.17,6.9,0,Australia,Dubai,77.49,59.87,0,0,0,Australia,Dubai,36.04,66.42,0,0,0,Australia,Dubai,16.48,54.07,0,0,0,Australia,Dubai,52.01,20.19,0,0,0,Australia,Dubai,36.86,12.64,0,0,0,Australia,Dubai,36.0,11.81,0,0,0,Australia,Dubai,115.95,11.9,0,0,0,Australia,Dubai,206.69,11.44,0,0,0,Australia,Dubai,11.65,15.18,0,0,0,Australia,Dubai,2.02,0.0,0.0,0.0,273.33,371.16,28.29,78.35,0.19,0.0,0.0,2.75,3.7,Australia,Bowler,Test,Neutral,Bangladesh,Bowling,Humid,59.92,37.01,71.73,96.23,test__static__Bowlers Dataset (Australia).csv,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Husnain Talat,91.33,92.76,0,Australia,Dubai,92.73,54.95,0,0,0,Australia,Dubai,67.45,12.23,0,0,0,Australia,Dubai,12.1,24.43,0,0,0,Australia,Dubai,21.47,20.58,0,0,0,Australia,Dubai,33.44,15.65,0,0,0,Australia,Dubai,104.98,57.91,0,0,0,Australia,Dubai,119.29,20.88,0,0,0,Australia,Dubai,54.54,11.08,0,0,0,Australia,Dubai,20.7,36.36,0,0,0,Australia,Dubai,3.11,0.0,0.0,0.0,354.79,482.32,33.39,68.1,0.3,0.0,0.0,3.52,5.03,Australia,Bowler,Test,Neutral,Sri Lanka,Balanced,Clear,66.89,34.58,47.59,64.61,test__static__Bowlers Dataset (Australia).csv,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zulfiqar Babar,52.72,40.7,0,Australia,Dubai,37.51,59.39,0,0,0,Australia,Dubai,156.13,11.18,0,0,0,Australia,Dubai,84.19,40.85,0,0,0,Australia,Dubai,54.55,31.28,0,0,0,Australia,Dubai,14.31,61.13,0,0,0,Australia,Dubai,83.84,36.33,0,0,0,Australia,Dubai,53.18,63.93,0,0,0,Australia,Dubai,14.4,63.11,0,0,0,Australia,Dubai,53.11,54.7,0,0,0,Australia,Dubai,0.0,0.0,0.0,0.0,137.56,215.84,13.98,62.93,0.0,0.0,0.0,1.43,2.16,Australia,Bowler,Test,Away,Afghanistan,Bowling,Overcast,54.21,24.05,63.87,101.82,test__static__Bowlers Dataset (Australia).csv,37.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muhammad Nawaz,23.67,29.16,0,Australia,Dubai,13.85,51.47,0,0,0,Australia,Dubai,13.42,31.27,0,0,0,Australia,Dubai,68.42,25.68,0,0,0,Australia,Dubai,20.97,54.64,0,0,0,Australia,Dubai,21.01,12.35,0,0,0,Australia,Dubai,70.46,58.98,0,0,0,Australia,Dubai,55.35,55.34,0,0,0,Australia,Dubai,15.98,57.48,0,0,0,Australia,Dubai,26.54,21.89,0,0,0,Australia,Dubai,1.93,2.1,0.0,0.0,494.2,576.05,47.58,82.96,0.19,0.21,0.0,4.92,6.29,Australia,Bowler,Test,Home,West Indies,Batting,Clear,68.85,35.43,39.68,100.28,test__static__Bowlers Dataset (Australia).csv,44.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saad Nasim,156.2,133.3,0,Australia,Dubai,89.17,35.87,0,0,0,Australia,Dubai,10.85,63.78,0,0,0,Australia,Dubai,44.28,32.53,0,0,0,Australia,Dubai,21.88,60.23,0,0,0,Australia,Dubai,12.46,11.49,0,0,0,Australia,Dubai,100.75,12.56,0,0,0,Australia,Dubai,16.63,55.56,0,0,0,Australia,Dubai,12.1,15.68,0,0,0,Australia,Dubai,20.69,23.67,0,0,0,Australia,Dubai,0.0,0.96,0.0,0.0,266.48,307.21,27.23,87.96,0.0,0.1,0.0,2.6,3.3,Australia,Bowler,Test,Away,South Africa,Batting,Clear,76.69,44.9,66.01,96.23,test__static__Bowlers Dataset (Australia).csv,38.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bilawal Bhatti ,1.02,2.04,0,Australia,Dubai,100.45,22.88,0,0,0,Australia,Dubai,32.99,14.28,0,0,0,Australia,Dubai,88.32,62.88,0,0,0,Australia,Dubai,11.93,5.79,0,0,0,Australia,Dubai,3.15,6.28,0,0,0,Australia,Dubai,11.85,5.93,0,0,0,Australia,Dubai,11.29,4.01,0,0,0,Australia,Dubai,208.03,25.44,0,0,0,Australia,Dubai,12.14,12.49,0,0,0,Australia,Dubai,1.05,0.0,0.0,0.0,125.28,188.55,12.64,64.72,0.1,0.0,0.0,1.33,1.82,Australia,Bowler,Test,Neutral,India,Batting,Overcast,89.13,34.82,61.21,94.89,test__static__Bowlers Dataset (Australia).csv,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muhammad Amir,32.5,109.64,0,Australia,Dubai,58.59,58.69,0,0,0,Australia,Dubai,46.34,54.85,0,0,0,Australia,Dubai,32.12,22.15,0,0,0,Australia,Dubai,84.95,23.81,0,0,0,Australia,Dubai,46.36,54.05,0,0,0,Australia,Dubai,35.18,21.49,0,0,0,Australia,Dubai,49.02,52.41,0,0,0,Australia,Dubai,578.74,58.63,0,0,0,Australia,Dubai,77.52,71.46,0,0,0,Australia,Dubai,0.98,4.13,0.0,0.0,602.75,555.77,59.95,105.83,0.1,0.41,0.0,6.09,5.34,Australia,Bowler,Test,Neutral,India,Batting,Clear,88.84,24.35,59.17,95.05,test__static__Bowlers Dataset (Australia).csv,38.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junaid Khan,12.55,52.83,0,Australia,Dubai,29.72,54.68,0,0,0,Australia,Dubai,34.6,41.96,0,0,0,Australia,Dubai,14.25,31.11,0,0,0,Australia,Dubai,13.39,33.7,0,0,0,Australia,Dubai,20.06,30.68,0,0,0,Australia,Dubai,11.72,37.67,0,0,0,Australia,Dubai,20.85,11.65,0,0,0,Australia,Dubai,109.35,62.17,0,0,0,Australia,Dubai,127.39,14.41,0,0,0,Australia,Dubai,4.12,0.0,0.0,0.0,507.41,610.29,50.87,82.96,0.4,0.0,0.0,5.46,6.17,Australia,Bowler,Test,Home,Afghanistan,Batting,Humid,55.83,31.41,42.08,102.47,test__static__Bowlers Dataset (Australia).csv,25.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shadab khan,12.02,64.67,0,Australia,Dubai,23.82,58.89,0,0,0,Australia,Dubai,64.23,12.09,0,0,0,Australia,Dubai,56.47,52.21,0,0,0,Australia,Dubai,62.07,42.12,0,0,0,Australia,Dubai,153.37,51.1,0,0,0,Australia,Dubai,106.09,57.11,0,0,0,Australia,Dubai,146.89,50.19,0,0,0,Australia,Dubai,24.14,24.01,0,0,0,Australia,Dubai,208.89,21.14,0,0,0,Australia,Dubai,5.01,0.0,0.0,0.0,484.2,522.0,45.65,94.87,0.48,0.0,0.0,5.01,5.18,Australia,Bowler,Test,Neutral,South Africa,Batting,Humid,80.92,40.3,61.25,100.51,test__static__Bowlers Dataset (Australia).csv,34.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Umer Gull,17.29,7.69,0,Australia,Dubai,89.37,59.07,0,0,0,Australia,Dubai,64.69,47.18,0,0,0,Australia,Dubai,44.77,58.32,0,0,0,Australia,Dubai,11.44,12.6,0,0,0,Australia,Dubai,12.13,35.34,0,0,0,Australia,Dubai,35.68,52.76,0,0,0,Australia,Dubai,66.51,14.93,0,0,0,Australia,Dubai,54.07,60.55,0,0,0,Australia,Dubai,124.15,64.47,0,0,0,Australia,Dubai,5.24,1.04,0.0,0.0,466.57,526.68,48.21,86.03,0.51,0.1,0.0,4.75,4.97,Australia,Bowler,Test,Neutral,South Africa,Batting,Overcast,80.07,42.15,47.87,81.14,test__static__Bowlers Dataset (Australia).csv,22.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imad Wasim,7.9,13.59,0,Australia,Dubai,63.46,47.12,0,0,0,Australia,Dubai,10.95,56.55,0,0,0,Australia,Dubai,57.1,19.81,0,0,0,Australia,Dubai,58.43,31.19,0,0,0,Australia,Dubai,46.94,54.33,0,0,0,Australia,Dubai,99.37,31.56,0,0,0,Australia,Dubai,89.71,57.63,0,0,0,Australia,Dubai,44.89,12.24,0,0,0,Australia,Dubai,22.6,57.68,0,0,0,Australia,Dubai,0.99,0.0,0.0,0.0,237.06,294.49,24.21,84.13,0.1,0.0,0.0,2.46,2.97,Australia,Bowler,Test,Neutral,West Indies,Bowling,Overcast,69.67,20.29,73.73,101.95,test__static__Bowlers Dataset (Australia).csv,42.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hassan Ali,12.21,18.84,0,Australia,Dubai,53.22,57.26,0,0,0,Australia,Dubai,12.15,52.41,0,0,0,Australia,Dubai,21.29,25.78,0,0,0,Australia,Dubai,22.72,12.56,0,0,0,Australia,Dubai,10.95,51.56,0,0,0,Australia,Dubai,44.02,12.31,0,0,0,Australia,Dubai,14.96,67.59,0,0,0,Australia,Dubai,11.44,20.38,0,0,0,Australia,Dubai,11.82,35.99,0,0,0,Australia,Dubai,0.97,0.0,0.0,0.0,218.3,348.25,21.59,67.04,0.1,0.0,0.0,2.22,3.45,Australia,Bowler,Test,Away,India,Balanced,Humid,91.29,41.45,67.35,44.63,test__static__Bowlers Dataset (Australia).csv,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Umer Gull,50.03,43.04,0,Australia,Dubai,36.4,23.14,0,0,0,Australia,Dubai,43.5,20.03,0,0,0,Australia,Dubai,55.06,38.39,0,0,0,Australia,Dubai,10.61,14.83,0,0,0,Australia,Dubai,64.5,35.83,0,0,0,Australia,Dubai,62.23,31.86,0,0,0,Australia,Dubai,3.13,92.06,0,0,0,Australia,Dubai,22.45,11.45,0,0,0,Australia,Dubai,5.98,12.12,0,0,0,Australia,Dubai,3.02,0.0,0.0,0.0,300.87,343.37,29.74,93.2,0.31,0.0,0.0,2.91,3.53,Australia,Bowler,Test,Neutral,South Africa,Batting,Overcast,80.32,29.72,50.49,104.92,test__static__Bowlers Dataset (Australia).csv,27.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wahab Riaz,37.88,63.7,0,Australia,Dubai,44.38,59.99,0,0,0,Australia,Dubai,19.27,43.76,0,0,0,Australia,Dubai,15.39,53.48,0,0,0,Australia,Dubai,56.23,23.01,0,0,0,Australia,Dubai,90.82,58.85,0,0,0,Australia,Dubai,76.41,44.84,0,0,0,Australia,Dubai,70.93,12.06,0,0,0,Australia,Dubai,82.53,31.12,0,0,0,Australia,Dubai,30.77,24.81,0,0,0,Australia,Dubai,2.09,0.97,0.0,0.0,387.14,528.62,38.58,70.06,0.2,0.1,0.0,3.7,5.0,Australia,Bowler,Test,Away,India,Batting,Clear,85.77,21.38,68.42,102.65,test__static__Bowlers Dataset (Australia).csv,31.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shadab Khan,9.76,17.37,0,Australia,Dubai,43.99,52.23,0,0,0,Australia,Dubai,71.01,62.82,0,0,0,Australia,Dubai,94.51,65.15,0,0,0,Australia,Dubai,65.67,35.47,0,0,0,Australia,Dubai,35.69,33.36,0,0,0,Australia,Dubai,95.04,60.79,0,0,0,Australia,Dubai,91.49,14.68,0,0,0,Australia,Dubai,71.51,44.56,0,0,0,Australia,Dubai,45.87,24.97,0,0,0,Australia,Dubai,2.02,0.0,0.0,0.0,275.43,372.29,28.12,74.47,0.19,0.0,0.0,2.75,4.08,Australia,Bowler,Test,Away,Sri Lanka,Balanced,Clear,65.49,36.96,41.71,102.69,test__static__Bowlers Dataset (Australia).csv,42.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sohail Tanveer,80.64,77.47,0,Australia,Dubai,30.79,60.46,0,0,0,Australia,Dubai,15.47,59.9,0,0,0,Australia,Dubai,32.09,36.6,0,0,0,Australia,Dubai,68.43,11.72,0,0,0,Australia,Dubai,84.46,14.8,0,0,0,Australia,Dubai,92.71,61.16,0,0,0,Australia,Dubai,71.61,43.88,0,0,0,Australia,Dubai,59.74,12.3,0,0,0,Australia,Dubai,14.35,33.29,0,0,0,Australia,Dubai,0.96,1.03,0.0,0.0,233.71,378.25,23.43,61.4,0.1,0.1,0.0,2.38,3.77,Australia,Bowler,Test,Neutral,Bangladesh,Balanced,Humid,57.39,16.34,75.16,75.02,test__static__Bowlers Dataset (Australia).csv,19.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Razzaq,58.31,43.57,0,Australia,Dubai,63.36,59.25,0,0,0,Australia,Dubai,45.83,16.56,0,0,0,Australia,Dubai,55.01,33.26,0,0,0,Australia,Dubai,36.77,45.99,0,0,0,Australia,Dubai,63.83,34.72,0,0,0,Australia,Dubai,33.57,19.39,0,0,0,Australia,Dubai,1.02,95.49,0,0,0,Australia,Dubai,34.61,54.55,0,0,0,Australia,Dubai,21.02,34.78,0,0,0,Australia,Dubai,3.04,4.08,0.0,0.0,694.1,712.36,67.78,93.7,0.29,0.41,0.0,6.69,6.89,Australia,Bowler,Test,Neutral,Pakistan,Batting,Clear,78.03,23.05,69.84,98.74,test__static__Bowlers Dataset (Australia).csv,28.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shahid Afridi,32.92,78.28,0,Australia,Dubai,44.02,60.46,0,0,0,Australia,Dubai,34.11,55.48,0,0,0,Australia,Dubai,59.09,58.11,0,0,0,Australia,Dubai,14.49,14.57,0,0,0,Australia,Dubai,14.32,16.12,0,0,0,Australia,Dubai,61.76,31.33,0,0,0,Australia,Dubai,66.0,53.57,0,0,0,Australia,Dubai,12.35,21.86,0,0,0,Australia,Dubai,11.68,54.91,0,0,0,Australia,Dubai,1.9,0.99,0.0,0.0,489.2,544.78,47.15,83.41,0.19,0.1,0.0,4.83,5.72,Australia,Bowler,Test,Home,Sri Lanka,Balanced,Overcast,64.82,36.59,66.87,95.88,test__static__Bowlers Dataset (Australia).csv,34.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faheem Ashraf,75.97,113.26,0,Australia,Dubai,90.41,49.07,0,0,0,Australia,Dubai,14.7,47.97,0,0,0,Australia,Dubai,67.53,44.81,0,0,0,Australia,Dubai,55.64,36.74,0,0,0,Australia,Dubai,35.64,35.44,0,0,0,Australia,Dubai,51.19,12.2,0,0,0,Australia,Dubai,45.31,95.73,0,0,0,Australia,Dubai,520.33,51.83,0,0,0,Australia,Dubai,36.34,32.75,0,0,0,Australia,Dubai,0.0,0.97,0.0,0.0,328.03,416.66,30.66,72.81,0.0,0.1,0.0,3.17,4.38,Australia,Bowler,Test,Home,Afghanistan,Bowling,Clear,54.36,23.53,52.07,71.45,test__static__Bowlers Dataset (Australia).csv,18.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaheen Afridi,23.12,78.75,0,Australia,Dubai,51.82,54.39,0,0,0,Australia,Dubai,61.34,15.58,0,0,0,Australia,Dubai,65.67,25.78,0,0,0,Australia,Dubai,43.43,45.08,0,0,0,Australia,Dubai,46.1,44.08,0,0,0,Australia,Dubai,48.87,30.73,0,0,0,Australia,Dubai,205.61,15.14,0,0,0,Australia,Dubai,157.77,55.02,0,0,0,Australia,Dubai,21.26,59.81,0,0,0,Australia,Dubai,2.07,1.04,0.0,0.0,437.34,577.73,46.7,76.18,0.19,0.1,0.0,4.38,5.61,Australia,Bowler,Test,Home,Sri Lanka,Balanced,Overcast,68.22,18.59,63.64,102.7,test__static__Bowlers Dataset (Australia).csv,26.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruman Raees,85.96,74.39,0,Australia,Dubai,20.6,52.19,0,0,0,Australia,Dubai,24.78,11.96,0,0,0,Australia,Dubai,71.46,60.53,0,0,0,Australia,Dubai,20.18,23.62,0,0,0,Australia,Dubai,65.74,14.5,0,0,0,Australia,Dubai,103.31,61.78,0,0,0,Australia,Dubai,550.93,12.35,0,0,0,Australia,Dubai,109.29,20.46,0,0,0,Australia,Dubai,20.18,24.49,0,0,0,Australia,Dubai,3.99,1.03,0.0,0.0,461.73,485.66,44.13,93.66,0.39,0.1,0.0,4.68,5.2,Australia,Bowler,Test,Home,Sri Lanka,Batting,Overcast,68.1,17.29,61.37,80.88,test__static__Bowlers Dataset (Australia).csv,21.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
